,home/away,day/night,toss,batted first,win
747.0,3,3,2,3,1
748.0,3,2,3,2,0
749.0,3,2,2,2,0
750.0,3,3,2,3,1
751.0,3,2,2,3,0
752.0,3,3,2,3,1
753.0,3,2,2,2,1
754.0,3,3,2,3,0
755.0,3,2,2,2,0
756.0,3,3,2,3,1
757.0,3,3,2,3,0
758.0,3,2,2,2,1
759.0,3,2,2,2,1
760.0,3,3,2,3,1
761.0,3,3,3,2,0
762.0,3,2,3,3,1
763.0,3,2,3,3,0
764.0,3,3,3,2,0
765.0,3,2,3,3,0
766.0,3,3,3,3,0
767.0,3,3,3,3,0
768.0,3,3,3,2,0
769.0,3,3,3,3,0
770.0,3,3,3,2,1
771.0,3,3,3,2,0
772.0,3,2,3,3,0
773.0,3,3,3,2,1
774.0,3,3,3,3,0
775.0,3,3,3,3,1
776.0,3,3,3,2,1
777.0,3,3,3,2,0
778.0,3,3,3,3,0
779.0,3,2,3,3,0
780.0,3,3,3,2,0
781.0,3,3,3,3,1
782.0,3,3,3,3,0
783.0,3,3,3,2,1
784.0,3,2,3,2,1
785.0,3,3,3,2,1
786.0,3,3,3,2,1
787.0,3,3,3,2,0
788.0,3,2,3,3,0
789.0,3,2,3,3,0
790.0,3,2,3,3,1
791.0,3,2,3,3,1
792.0,3,2,3,3,0
793.0,3,3,3,2,1
794.0,3,3,3,2,1
795.0,3,3,3,2,0
796.0,3,3,3,2,1
797.0,3,3,3,2,1
798.0,3,2,3,3,1
799.0,3,2,3,3,1
800.0,3,3,3,2,1
801.0,3,3,3,3,0
802.0,3,2,3,3,0
803.0,3,3,3,2,1
804.0,3,2,3,3,1
805.0,3,3,3,2,1
806.0,3,3,3,2,1
807.0,3,3,3,2,1
808.0,3,2,3,3,1
809.0,3,2,3,3,1
810.0,3,2,3,3,1
