,home/away,day/night,toss,batted first,win
217,0,1,1,1,0
218,0,1,0,1,1
219,0,1,1,1,0
220,0,1,0,1,0
221,1,1,0,1,1
222,1,1,0,1,0
223,1,1,1,0,1
224,1,1,1,0,1
225,1,1,0,1,1
226,1,1,0,1,1
227,1,1,1,0,1
228,1,1,0,0,0
229,1,1,0,0,1
230,1,1,0,1,1
231,1,1,1,0,0
232,1,1,0,1,0
233,1,1,1,0,0
234,0,0,1,1,1
235,1,1,1,0,1
236,1,0,1,0,0
237,1,0,1,1,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,1,1,0
241,1,0,1,1,0
242,1,0,0,0,1
243,1,0,1,0,0
244,1,1,1,0,0
245,1,0,0,0,0
246,1,0,0,0,0
247,1,0,1,0,1
248,1,0,1,0,0
249,1,1,1,0,0
250,1,0,1,0,0
251,1,0,1,0,0
252,1,1,0,1,1
253,1,0,1,0,0
254,0,0,0,0,0
255,0,0,1,1,1
256,0,0,0,1,0
257,0,0,1,1,1
258,0,0,0,0,0
259,0,0,1,0,0
260,0,0,1,1,0
261,0,0,1,0,0
262,0,0,1,1,0
263,0,0,0,0,1
264,1,0,1,0,0
265,1,1,0,0,1
266,0,0,0,1,1
267,0,0,0,1,0
268,1,0,0,0,1
269,1,0,1,1,0
270,1,0,1,1,0
271,1,0,1,1,0
272,1,0,0,0,0
273,1,0,0,0,1
274,1,0,0,0,1
275,1,0,1,0,1
276,1,0,1,0,0
277,1,0,0,1,1
278,0,0,1,0,1
279,0,0,0,1,1
280,0,0,1,0,1
281,1,0,0,0,0
282,1,0,1,0,1
283,0,0,0,1,0
284,0,0,1,1,0
285,1,0,0,0,0
286,1,1,1,1,1
287,1,0,1,1,0
288,1,1,0,1,0
289,1,0,1,0,0
290,1,0,1,0,0
291,1,0,1,1,0
292,1,0,0,0,0
293,1,0,0,0,0
294,1,0,1,1,0
295,1,0,0,1,1
296,1,0,0,0,0
297,1,0,1,0,1
298,1,0,0,0,0
299,1,0,0,0,0
300,1,1,0,0,0
301,1,1,0,0,0
302,1,1,1,1,1
303,1,1,1,1,1
304,1,1,1,0,1
305,0,1,1,1,1
306,1,1,0,1,0
307,1,1,0,1,0
308,1,0,1,0,1
309,1,0,1,0,1
310,1,0,1,0,1
311,1,0,0,1,1
312,1,1,1,0,1
313,1,1,1,0,1
314,1,1,0,1,1
315,1,1,1,0,1
316,1,1,0,1,0
317,1,0,1,0,0
318,1,0,1,1,1
319,1,0,1,1,0
320,1,0,0,0,1
321,0,1,1,1,1
322,0,1,1,1,1
323,0,1,1,0,0
324,0,1,1,1,1
325,1,1,0,1,1
326,1,1,1,0,1
327,1,1,1,0,1
328,1,1,0,1,1
329,1,1,0,1,1
330,1,0,0,0,0
331,1,0,1,1,0
332,1,0,0,0,1
333,1,0,0,0,1
334,0,0,1,1,1
335,0,0,1,1,1
336,0,0,1,0,1
337,0,0,0,1,1
338,0,0,0,1,1
339,0,0,1,0,1
340,1,0,1,0,1
341,1,0,1,0,1
342,0,0,1,1,1
343,0,0,0,0,0
344,0,0,0,0,1
345,1,0,1,0,1
346,1,0,0,1,1
347,1,0,0,1,1
348,1,1,1,0,1
349,1,1,1,0,1
350,1,1,1,0,1
351,1,1,0,1,1
352,0,0,1,0,1
353,0,0,1,1,1
354,1,0,0,0,1
355,0,1,0,0,1
356,0,0,0,1,1
357,0,1,1,0,1
358,0,1,0,1,1
359,0,0,0,1,1
360,1,1,0,1,1
361,1,1,1,0,1
362,0,1,1,0,1
363,0,1,1,1,1
364,1,1,1,1,0
365,1,1,1,0,1
366,1,0,1,1,1
367,1,1,1,1,0
368,1,0,1,1,1
369,1,1,1,0,1
370,1,0,0,1,0
371,1,0,0,1,0
372,1,1,1,1,0
373,1,1,0,1,0
374,1,1,1,1,0
375,1,1,1,0,1
376,1,1,1,1,1
377,1,1,0,1,1
378,1,0,1,1,1
379,1,0,1,0,0
380,1,0,0,0,1
381,1,0,1,0,0
382,1,0,0,1,0
383,1,1,1,0,1
384,1,0,0,0,0
385,1,0,1,1,0
386,1,0,0,1,1
387,1,0,0,0,1
388,1,1,0,0,0
389,1,1,1,1,0
390,1,0,1,0,1
391,1,0,0,0,1
392,1,1,1,0,0
393,1,1,0,1,0
394,1,1,0,1,0
395,1,0,1,1,0
396,1,0,1,0,1
397,1,1,0,1,1
398,1,0,1,0,1
399,1,0,0,0,0
400,1,1,1,0,1
401,1,0,1,0,0
402,1,0,0,0,1
403,1,1,1,0,0
404,1,1,0,1,0
405,1,1,0,1,0
406,1,0,0,0,0
407,1,1,0,1,0
408,1,0,1,0,0
409,1,0,0,0,1
410,1,0,1,0,0
411,1,1,0,0,0
412,1,1,0,1,1
413,1,0,0,0,1
414,1,0,1,1,0
415,1,0,1,0,0
416,1,0,1,1,0
417,1,1,1,1,0
418,1,0,1,1,0
419,1,0,1,0,0
420,1,1,0,0,0
421,1,1,0,1,1
422,1,1,0,1,0
423,1,1,0,1,0
424,1,1,0,1,1
425,1,0,0,0,0
426,1,1,0,1,0
427,1,0,0,0,0
428,1,1,0,1,1
429,1,1,1,0,0
430,1,0,0,0,0
431,1,0,0,1,0
432,1,1,0,1,0
433,1,1,0,1,0
434,1,0,0,0,0
435,1,1,0,1,1
436,1,0,0,0,0
437,1,1,0,1,1
438,1,1,0,0,0
439,1,1,0,1,0
440,1,0,0,0,0
441,1,1,0,1,0
442,1,0,0,0,0
443,1,1,1,1,1
444,1,0,1,1,1
445,1,1,1,1,0
446,1,0,1,1,0
447,1,0,1,1,0
448,1,0,1,0,0
449,1,0,1,1,0
450,1,0,1,0,0
451,1,0,1,0,0
452,1,0,0,0,1
453,1,1,1,0,1
454,1,0,0,0,0
455,1,1,1,0,0
456,1,1,1,0,0
457,1,1,1,0,0
458,1,0,1,1,1
459,1,1,1,0,0
460,1,0,1,0,0
461,1,0,1,1,1
462,1,0,0,0,1
463,1,0,1,1,0
464,1,1,1,1,0
465,1,0,1,1,0
466,1,0,1,0,1
467,1,0,1,0,0
468,1,0,1,0,0
469,1,0,1,1,0
470,1,1,1,1,1
471,1,1,0,1,0
472,1,0,0,0,1
473,1,1,0,1,0
474,1,0,0,0,1
475,1,1,1,0,1
476,1,1,0,1,0
477,1,1,0,1,1
478,1,0,1,0,0
479,1,1,1,0,0
480,1,0,1,1,1
481,1,0,0,1,1
482,1,0,0,0,0
483,1,1,1,0,0
484,1,0,1,1,0
485,1,0,1,0,0
486,1,0,0,0,1
487,1,0,0,0,1
